Service	Charge 2025/26
Estate Manager - Costs	                                                 13,750
Office Costs, Internet and Telephone	                                                    2,432
Communal Gas	                                                    4,661
Communal Electric	                                                    9,278
Communal Water	                                                       761
Grounds Maintenance	                                                    1,432
Cleaning, Waste Management & Pest Control	                                                 15,547
Miscellaneous Costs	                                                       208
Auditor Fees	                                                       200
Insurance	                                                 79,103
Heating Equipment	                                                    8,969
Fire, Lighting, Call Systems and Door Entry	                                                 11,159
Lift Servicing	                                                    1,371
Water Servicing	                                                       351
Kitchen, Laundry and Other	                                                    7,387
Administration of Maintenance Contracts	                                                    3,894
General Building Repairs	                                                    1,781
Fire, Lighting, Door Entry and Call Systems	                                                    3,820
Lift Repairs	                                                       225
Systems - Gas, Electric and Water	                                                    8,515
Contribution to Reserves Fund	                                                 26,968
Management Fee	                                                 25,960
Total Estate Costs	                                               227,772
Income from Estate	                                                    7,908
Brought forward surplus or deficit	-                                                  7,535
Other Income	                                                       373
Estate Charges Payable by Home Owners	                                               227,400
Total Estate Income	                                               227,773
Charges contested (2025-2026)	                                               139,425
